comment,sentiment
"Pesanan sudah diterima, proses pengemasan serta pengiriman barang tergolong cepat, Barang datang dalam kondisi baik, Untuk orang dgn BB.62 & TB.170, ukuran M udah sangat PAS.. Pokoknya ini rekomended Seller..👍👍",positif
"Sumpah bagus bangetttt, gak tebel banget gak tipis banget. Intinya sesuai harga lah, barang cepet sampe, CO hari Jumat dateng hari minggu, sablon nya juga bagus banget, bagus banget intinya gak boong aaaaa><",positif
"Jujur agak kecewa sama pengemasannya karena ternyata hari libur ngga diproses. Tapi itu semua ketutup sama barang yang didapetin! Pengemasannya, produk dan jahitannya super rapih! Real pict, color dll, ngga ada bekas jahitan nyisa atau lainnya. First impressions gue lgsg pesen 4 pcs dari 700rb>645rb",positif
"Bahannya seperti jaket Boomber pada umumnya, Desainnya & Modelnya yg bagus, Size L buat kado 🙏, Recommended Seller",positif
"Tampilan: Keren + Stylish, Warna: Dark Grey, Bagus banget ini woyy, dapet harga flashsale plus ada voucher belanja jadi miring banget harganya kek ini gak sesuai soalnya barangnya bagus dengan murah banget. Ukurannya pas sih buat badan aku yang 172 cm + 74 Kg",positif
"Ada empat kantong, model seperti kemeja. bahan sablon oke. gak tipis tapi gak tebel. ukuran juga pas😁 gak ada cacat juga, puas banget🤍",positif
Kualitas produk sangat baik. Produk original. Harga produk sangat baik. Kecepatan pengiriman sangat baik. Respon penjual sangat baik. Packing aman.,positif
"Nggk pernah kecewa beli ERIGO. Selalu puas. Packingnya oke, pengirimannya cepet. Bahannya juga bagus banget, halus juga, nyaman juga pas dipakai. The best lah pokoknya.",positif
"Penanganan cepat, pengiriman juga cepat, jaketnya bagus banget, modis, kekinian, nyaman di pakek, anak saya suka banget....👍👍👍👍👍 Bs buat langganan.....siippp......thanks seller...",positif
Kenyamanan: bagus Saran Tampilan: bagus Kualitas: bagus bahan nya Makasih ka pesanan nya udh smpe bahan nya bagus walaupun lumayan gede juga dia aku next bakal order yg model lain lagi 🤗🥰,positif
"Alhamdulillah barang sampe, pengemasannya oke, bahan jaketnya bagus dalemnya juga bagus, top deh",positif
"Bb 49 tinggi 156 ukuran S sesuai di aku, recomend buat naik motor bahan e enak Trmksih luv bgt sma erigo.",positif
"Cepat untuk pengiriman nya, bagusss bangett model nya, sy suka sekali, mungkin sebulan sekali order kali yaa hehehe, mantap abisssss pokoknya, recomended sekali.",positif
Kereeeeeennnn.... Pengiriman cepat Kualitas ok Semoga awet terimakasih seller shopee dan si cepat sukses selalu 🙏,positif
"Barang sampai dengan selamat, bahannya bagus, adem, sampenya cepet banget pesen kemarin malem, malem ini udah sampee good job thankyoouu",positif
"Produknya baguss, alhamdulillah barang pembelian ke 2 kalinya ditokoh ini bagus (yg kedua ini temen saya nitip karena rekomen saya hehehe) terima kasih adminnya jg fast respon dan baik 😊🙏. Pengiriman juga fast banget",positif
"Barang nya udh nyampe mantap bangett. Maaf aku kasih 3 bintang, soalnya pengiriman nya lama bngett :( klo barang nya mh bagusss pisan aslina...",negatif
"Barang yg datang sesuai pesanan, cuman ada s edikit cacat, untuk perhatian kedepanya. Biar lebih menyeluruh ngeceknya. Kancingya ada yg copot satu. Untk ukuran pas.",negatif
"Untuk yang mau beli Kekurangan nya kantong 4 buah gak aman buat taro hp, andai di perbesar lagi kantong nya, dan diberi kantong tambahan di dalem Untuk bahan dan kwalitas bagus, dipake untuk berkendara walau tipis gak tembus angin",negatif
"bahannya bagus sesuai dg gambar tapi kancing sakunya lepass 1,kecewa sih tapi gpp cuma 1",negatif
"Kancing nya rusak 1, ternyata ukuran M kebesaran untuk wanita tinggi 160 cm",negatif
Barang bagus original Cuma pengirim kurang teliti mengecek sebelum mengirim Ada bolong di saku bawah Mau refund / tuker ribet Jadi saya jahit aja di permaks,negatif
"Maaf kecewa sih barang kancingnya ilang 1 pas datang, minta ajuin pembatalan pesanan ingin mengganti model jaket padahal belum dikemas tapi ga diterima. Respond penjual juga lama. Semoga kedepannya lebih baik lagi dalam mengirim produk, terimakasih",negatif
"Warna: grey kali ini mengecewakan banget, coach erigo ny kaya bekas gru,kaya barang returan,kancing ny karatan,name tag label ga ada,jahitan nya ga rapi",negatif
"Jangan sampai pembeli seperti saya , saya tidak menerima produk dari erigo sebanyak 3 item , hodiie,sweter,coach jaket , saya sudah kecewa sebagai pelanggan terima kasih......!!!!!!",negatif
"Pengiriman sangat lama dan bikin kapok, semoga erigo berbenah dari sisi pengiriman barang nya agar lebih cepat. Penilaian kurang baik karena layanan jasa kirim.",negatif
"Baru dateng tapi kancingnya udah copot, maaf ya kak bintang 2 dulu",negatif
"Barang ini adalah sampah terbesar yang pernah saya beli! Tidak hanya rusak, tetapi juga bau busuk. Saya sangat kecewa!",negatif
Tidak ada kata yang cukup buruk untuk mendeskripsikan produk ini. Semua rusak dan tidak berguna. Uang saya terbuang sia-sia!,negatif
Pengiriman sangat-sangat lambat. Saya menunggu berhari-hari tanpa hasil. Saya benar-benar marah!,negatif
Ini adalah barang palsu! Gambar online sangat menipu. Saya merasa seperti ditipu!,negatif
"Produk ini adalah sampah! Tidak ada kualitas, dan penjualnya sangat tidak profesional. Saya tidak akan pernah membeli dari mereka lagi!",negatif
"Packing cepat, rapi dan aman. Pengiriman cepat dan sesuai. Produk original, warna dan ukuran sesuai. Kualitas produk sangat baik. Harga produk sangat baik. Respone penjual sangat baik.",positif
Kualitas baik. Sepadan dengan Harga: sepadan. Kenyamanan: nyaman. Dpt harga 21k kaos erigo lumayan kan 😅 Kain halus dan dingin tapi ukurannya besar ya ternyata gak papalah buay pk su Terimakasih,positif
"Tampilan: bagus. Warna: navi. Paket saya sudah sampai trimakasih, bagus sablonan juga bagus tapi bahan nya beda sama yang pertama beli, gak papa bagus ko adem bahan nya gak tebal gak tipis",positif
"Soal packing udah pasti bagus 👍 selebihnya bagus banget. Udh sering beli baju buat suami atau ade disini. Krna bahannya emang sebagus itu, harga nya worth it banget ✌️🥰",positif
"Bahan adem, sablonan bagus, jahitannya rapi, sesuai ekspektasi",positif
"Alhamdulillah ini ke dua kali pesan, produk ori packing oke, sampenya juga cepat",positif
Antusias untuk beli produk dalam negri yang sudah mendunia. Mau tahu sih klo harga lagi gak diskon kira-kira bahan nya sama gak kayak gini. Beb... Untuk harga diskon 50 ribu sesuai lah bahan dan sablonan nya.,positif
Paketnya udah sampe. Pesenin cowokku baju erigo mumpung lagi diskon. Murah banget gillsss... Bajunya juga bagus bahannya adem ada free gift nya juga lohhh.. Pengiriman cepat banget gapake lama.. Thankss erigo official....,positif
Alhamdulilah paket nya udah sampai. Makasih ga kecewa dech beli produk erigo bahan nya pun adem.. Makasih juga abang kurir nya yang baik sopan lg nex aq order lg dech,positif
"Warna: navy. Tampilan: bagus. Packing aman, barang dikirim sesuai pesanan, sablonan bagus, pas dapet harga diskon dan gambar yang dipengenin.",positif
"Mantep banget, Kualitas Bagus, adem juga, Auto langganan sih, packing aman, pengiriman cepat banget, Cintailah produk Indonesia",positif
"bahannya tebal, sangat di anjurkan sekali dan sablonnya sangat menarik, terima kasih",positif
"Dapet harga murah flash sale 50 ribu/each, pengiriman seminggu karna lebaran, good, gaada yang rusak all good, mantep. Bahan bagus adem.",positif
"Tampilan: sesuai. Warna: navy. Sesuai dengan foto, dapet harga sale suka deh, bahannya adem juga.",positif
"Walaupun cod tetap cepat pengirimannya, kualitas nya bagus, dan harga segini terbilang worth it lahh.",positif
"Tampilan: cakep. Warna: navy. Barang nya bagus sesuai dengan pesanan, pengiriman cepat.",positif
Tampilan: Udah pernah beli sebelumnya dengan ukuran yang sama (XXL) tapi orderan sekarang kaosnya kaya LD ukuran XL. Di tag bener ukuran XXL tapi kenapa LD nya cuma 56. Klo emang selisih karna jaitan harusnya ngga sampe 2 cm. Rada kecewa si soalnya sebelumnya udah pernah beli disini tapi aman aja ukurannya sesuai deskripsi. Tapi pas order yang ini jujur rada mengecewakan udah gtu ada noda dibagian atasnya.,negatif
Bahan nya bagus. Lembut. Ademnyaman d pakai nggak gerah👍👍👍👍👍👍👍👍,negatif
Cukup puas sih cuma kecewa nya pelayanan nya yang kurang. Order pertama di kirim paling akhir. Kenapa gak di barengin aja. Kam alamat tujuan sama. Pertama beli ud kecewa. Kalo kurir udh langganan jadi udh paham..,negatif
"Bahan yang ke-4 lebih tipis, kenapa sekarang kualitas bahannya tipis ya Erigo.",negatif
"Baru kali ini beli disini tidak dapat stiker, padahal beli 4 pc dan sering beli disini.",negatif
Kok sekarang makin kesini bahannya tipis.,negatif
Pengiriman sangat lambat dan sangat mengecewakan. Barang yang saya terima cacat dan rusak parah. Sangat kecewa dengan layanan ini!,negatif
Produk yang saya beli tidak sesuai dengan gambar dan deskripsi. Ini adalah pemborosan uang. Sangat marah!,negatif
Pelayanan pelanggan buruk sekali. Saya mengirim beberapa pesan dan tidak pernah mendapatkan balasan. Ini adalah pengalaman yang sangat buruk!,negatif
Barang yang saya terima sangat kualitas rendah. Terlihat seperti barang palsu. Saya merasa tertipu!,negatif
Saya menunggu pengiriman selama berbulan-bulan dan barangnya akhirnya datang rusak. Ini adalah pengalaman yang sangat frustasi!,negatif
Harga produk terlalu mahal untuk kualitas yang buruk. Saya merasa seperti saya dibohongi. Tidak akan membeli lagi!,negatif
Saya telah berbelanja di sini beberapa kali dan setiap kali pengiriman sangat lambat. Ini adalah kecewa yang berulang kali!,negatif
Kualitas produk semakin menurun dari waktu ke waktu. Saya sangat kecewa dan tidak akan membeli lagi!,negatif
Saya mencoba untuk menghubungi layanan pelanggan tetapi tidak pernah mendapatkan tanggapan. Ini adalah pelayanan pelanggan yang sangat buruk!,negatif
Saya merasa sangat marah dan kecewa dengan produk ini. Barang yang saya terima sangat jauh dari harapan. Tidak akan merekomendasikan kepada siapa pun!,negatif
"Istimewa, Order Erigo Chino Pants Beryl Emerald Variasi 40 sudah sampai, best quality, bahan terbaik & lembut, Original, harga discount, size international, Recomended Seller - Thanks ERIGO. Thanks SHOPEE.",positif
"Barang nya bagus banget saya suka, jadi pengen pesen lagi jadi nya barang nya tidak mengecewakan, super bagus.. kurir nya juga ramah, sukses terus buat toko nya..",positif
"Terima kasih kak celananya sudah mendarat dengan selamat.. Pengiriman cepat, Kualitas barang sangat bagus. Terima kasih sukses selalu👍🙏",positif
Allhamdulillah barang udh sampe terimakasih erigo cepat pengirimannya dan sumpah celananya bagus bgt pas bgt disaya saya suka bgt top bgt dah..untuk kedepannya saya akan pesan terus dgn warna yg berbeda terima kasih erigo store👍👍🙏,positif
"Produk sesuai dengan gambar warna dan ukuran nya pas, terima kasih.",positif
"Kecepatan pengiriman nya cepat, bahanya juga Oke lembut, slim fit nya jg nggak nggepress. Mantaplah pokoknya 🔥🔥🔥",positif
"Kualitas celana bagus dan rapih jahitan nya, Harga terjangkau untuk kualitas yang baik, Pengiriman cepat, Erigo memang terbaik, saya selalu suka product lokal dengan kualitas dan model yang di design oleh erigo, Terima Kasih ERIGO APPAREL",positif
"Celana nya bagus banget, sumpah ini bahan lembut dan agak ngaret loh jadi ga press bgt. Warnanya sesuai pict. Ini suami aku pake yang size 36 BB dia 90kg tinggi 175cm dan masih termasuk muat ya mskipun agak press, cuma karena bahannya Alus dan melar jadi enak aja tuh. Next beli yang 38, thanks seller 🥰🤍🙏",positif
"Pengemasan dari toko cepat, packing rapi & aman.. Pengiriman dari expedisi cepat. Kualitas barang oke punya. Nyaman bahannya. Terimakasih seller",positif
"Erigo selalu terbaik, sudah order yang kesekian kali, Suka bgt sama model nya, Harga terjangkau, Bahan nya tebal, lembut dan tidak panas, Nyaman dipakainya, Terima Kasih ERIGO",positif
Barang telah dikirim dan telah diterima dengan keadaan baik dan rapi. Tidak ada terjadi kerusakan sebelum pemakaian dan sesudah pemakaian. Pengiriman juga cepat. Semoga awet,positif
Mantap banget bahannya ga kecewa warna cocok yang sesuai diingink,positif
"Overall bagus sih, cuma belum tau ini nanti bakalan berbulu setelah beberapa kali pemakaian atau engga, kalau engga bakalan beli lagi. Terus bahannya gak kaku dan kasar jadi nyaman di kulit.",positif
"Bagus banget celananya, bahan oke, pengiriman okee, packing okee 😍 Semoga menjadi langganan di toko ini 🥰",positif
"Mantappp bosss.. Bahannya halus, tebel, melar. Pengiriman lumayan cpet pdhal udh bentar lagi mau lebaran yaa, alhamdulillah cpet mendarat. Thx Erigooo",positif
Minta ukuran 28 dikirim 38 mau di retur repot banget. Padahal udah minta ukuran 28 di chat dan di catatan. Niatnya mau di retur tapi kok yah ribet banget permintaan dari toko mesti foto ini itu. Tolong lebih teliti lagi jika ingin kirim barang.,negatif
"Bahannya ndak sesuai yg saya harapkan... tipis, dan dugaan saya luntur... jahitanya buagus... kecewa dibahan, tpi mungkin sesuai dengan harga yaa... hmmm... tingkatkan dikwalitas bahan kak, jahitan sudah okey... 🙏",negatif
"Beli celana sama kaos tapi, celana kekecilan dan kaos kegedean. Ukurannya ga sesuai diskripsi pada tabel size kl di ukur. Kecewa, ditambah lagi pengiriman lambat tidak langsung di proses.",negatif
Celana kekecilan tidak bisa direktur. Padahal cuman minta tuker size bukan minta duit. Sudah di chat tapi tidak ada respon. Tidak seperti toko yang lain 👎,negatif
"Bahannya sama kayak yang harga 80an kurang rekomended sih kalo menurut aku, ya tapi mau gimana lagi udah saya cancel tapi penjualnya gak mau di cancel upps",negatif
"Ukuran celana yang dikirimkan saya sudah benar, tapi begitu diukur ternyata melewati batas toleransi. alias kegedean jauh.",negatif
Saya sangat kecewa karena saya ambil baju ukuran L tapi yang dikirim ukuran XL-_,negatif
"Di karenakan tidak bisa dibatalkan padahal saya salah order tetap saja diproses, mohon pelayanannya yang benar.",negatif
Terlalu kepanjangan untuk ukuran tinggi pria Indonesia yang rata-rata tinggi badannya 170cm,negatif
Jahitannya ga rapih,negatif
Pesan celana dikirimnya kemeja kotak-kotak padahal lagi dibutuhkan banget celananya 😤,negatif
"Sudah beli 3 produk sebelumnya warna navy, cream, dan dark grey. Ukuran semua celana 32 sangat bagus dari bahan dan kualitas. Namun, pesanan terakhir sangat berbeda dari bahan, ukuran, dan kualitas. Kecewa karena ukuran dan bahan berbeda. Tunggu perbaikannya. Terima kasih.",negatif
Kualitas produk baik.,positif
Beda sama yang saya beli kemarin.,negatif
Respon seller nya jelek.,negatif
Celana terlalu ketat banget.,negatif
Warna yang dikirim berbeda.,negatif
"Alhamdulillah akhirnya jogger yang warna hitam restock. Puas banget dengan pelayanan Erigo. Adminnya ramah, pengirimannya cepat meskipun beda pulau. Produk-produknya juga the best. Sukses terus untuk Erigo 👍",positif
"Barangnya bagus, pengirimannya lumayan cepat. Erigo memang sudah gak perlu diragukan lagi. Recommended!",positif
Alhamdulillah pas dengan size 32. Potongan slim membuatnya pas dan bahan bagus. Mungkin akan beli lagi untuk ukuran yang lebih besar. Monggo diborong.,positif
"Barang sudah diterima sesuai deskripsi, bahan lembut, dan pas dipakai. Terima kasih seller, ditunggu diskon berikutnya.",positif
Pembelian ke-3 selalu sesuai dengan deskripsi. Pengemasan baik dan pengiriman cepat. Semoga muat karena dibeli untuk adik sepupu. Terima kasih Erigo.,positif
"Mantaplah pokoknya, pas banget dan bahan lumayan sesuai dengan harganya. Good!",positif
"Yuhuu~ pesanan jogger Erigo yang kesekian kali datang dengan aman. Paling pas ukuran, harga, dan tentu kualitasnya. Biasanya pakai ukuran 36, tapi rada pas di paha jadi beli yang ukuran 38. Tapi pinggangnya besar banget, sudah ditarik dan diikat tali tetap kedodoran. Tapi yang penting nyaman. InsyaAllah akan jadi langganan terus.",positif
"Celana pas dan nyaman dipakai anak saya, size dan ukuran juga pas. Suka kata anak saya. 👍👍👍",positif
"Recommended seller dan barangnya bagus, harganya terjangkau. Semoga awet dan cocok sekali untuk BB 57 TB 158 dengan ukuran 30, nyaman dan stretch.",positif
"Enak dipakai celananya, bahannya gak panas, gak kusut, lembut, ngepas banget, harga flash sale jadi murah banget. Terimakasih ya.",positif
"Tampilan bagus, warna bagus, ukuran pas tapi di lingkar pinggang agak kebesaran. Tapi gak masalah.",positif
"Belanja kedua x nyh produk Ori kualitas bagus. Pengemasan pengiriman super cepat, packing rapih aman. Terimakasih seller... Gak lupa buat kurir terimakasih juga mau mengantar ke alamat rumah walaupun toko masih tutup.",positif
"Tampilan: bagus stylish, warna: black 32. Bahannya enak, bagus, gak terlalu tebal, ringan lagi. Dengan harga segini dan bahan bagus, gak mengecewakan. Packing rapih dan pengiriman cepat.",positif
"Tampilan: pas di badan, warna: hitam. Ukuran 170/80 pas di kaki dan badan. Neks beli lagi.",positif
"Barang sudah sampai, real pict ya cuma pengirimannya agak terlambat, it's ok lah.",positif
"Kualitas barang bagus. Ini sudah pesan yang kedua kalinya. Nyaman dipakai, resellernya ramah, pengiriman juga cepat sampai. Makasih Erigo.",positif
"Tampilan: bahannya jelek, tipis, bahan kasar Warna: warna hitam Harga branded tp kualitas kaki lima",negatif
"Pas ke 3x beli yg warna item ini gua pilih nomer 30, dan bener di tag celananya no.30, tapi ukurannya kayak no 32. Bahkan gua samain dengan celana sebelumnya, perbedaanya beberapa CM jauh banget kyak beda size jatohnya.",negatif
"Saya gk tau hrs komentar apa.. saya cm bingung dgn deskripsi yg tidak sesuai dgn brg, saya beli ukuran 30 = 38cm lingkar pinggang nya. tanya penjual, tp dijawab, ada tim yg akan membantu.",negatif
Jadi pesennya size 40…pas dibuka langsung copot tagnya krn tulisan sizenya 40 terus dicoba kekecilan setelah dilihat ternyata size nya 34 di celananya…dichat adminnya no response…maaf yaah aku kasih penilaian jelek,negatif
Jelek kualitas produknya :( sengaja milih beli erigo kirain ntr datangnya bagus. Tau gitu beli merk lain. Celana nya ngepas banget kaya make leging. Kecewa deh sama produk celananya.,negatif
"Kualitas: Bahan tipis tidak kayak dulu beli joger di awal yang bahannya tebal, kantongnya juga kain tebal. Yang sekarang bahan model kain nya jelek kasar dan tipis. Karet nya juga sangat melar dan tidak kencang.",negatif
"agak kecewa sih, celana baru aja datang udh sobek dibagian betis nya, padahal sebelumnya saya beli chino disini celana nya bagus bngt mungkin bisa diperbaiki lagi untuk finishing nya",negatif
"Untuk harga segini not worth it, bahan kyk distro pinggir jalan harga 75rb.. di jadikan pengalaman saja ya",negatif
"Kurang bagus dan luntur, ukuran sesuai,waktu pembelian harga 142k sekarang 98k",negatif
Beli yang kedua kalinya... pertama beli ukuran 32 nya pas.. trus pas beli ke dua ukuran 32 nya besar...dan kainnya agak beda.. pertama yg warna biru navi agak lembut...yg kedua warna hitam agak kasar kain nya...,negatif
"34nya kecil banget, saya bisa pake ukuran 34 gk muat, ade saya coba malah pas di dia yang ukuran 32, tolong di perbaiki customer servicenya saya chat tidak ada tanggapan",negatif
"Tampilan: untuk ukuran 34 ini kekecilan, jadi kaya leging kayaknya bukan product asli deh, Tidak worth it ukurannya tidak standart kekecilan padahal 34 ukurannya",negatif
"Tampilan: jelek, pas dipakai tidak nyaman Warna: warna burik, pudar. Jadiin keset aja kalo bisa. Celana apaan ini.",negatif
Pesen tgl 5 dikirim tgl 9 . Lapor shope baru dikirim kecewa. Udah minta batal ga di acc,negatif
Tolong dong erigo respon nya .. saya chat engga ada di respon ..,negatif
Udh beli ke 5 kali y bagus semua tapi yg warna item ini kurang puas bagett,negatif
