comment,sentiment
Seller tidak profesional. Tidak menjawab pertanyaan dengan baik dan sopan.,negatif
Barang datang dalam keadaan rusak. Kualitas produk sangat buruk.,negatif
Packing sangat buruk. Barang tiba dalam keadaan rusak dan pecah.,negatif
Pengiriman terlambat dan tidak sesuai dengan yang dijanjikan. Kecewa dengan pelayanan ini.,negatif
Harga sangat mahal dan tidak sepadan dengan kualitas produk. Pemborosan uang.,negatif
Seller tidak responsif dan tidak memberikan informasi yang jelas. Pengiriman terlambat.,negatif
"FAST pair. Langsung work. Packaging aman, dengan kardus dan bubble wrap. Kurir handle with care. Semua fitur-fitur berfungsi dengan sangat baik. Terbaik. Terimakasih seller dan kurir.",positif
"Harga murah dengan kualitas terbaik, cocok disandingkan dengan semua perangkat Xiaomi saya mulai dari HP, Pad, bahkan Laptop. Pengiriman cepat, paking aman dan rapih. Semoga awet dan selalu menjadi andalan.",positif
Alhamdulillah brhbsdh sampai dg selamat dan aman. Peking ny mantap. Aman dan tidak ada yang rusak. Terima kasih ya semuanya.,positif
"Recomend bgt untuk brg ini, cuma sedikit disayangkan pengiriman ketempat saya agak lama.",positif
"Original OFFICIAL XIAOMI. Bas mantap, suara jos. Mantap untuk semuanya. Overall jos mantap lah. Terima kasih XIAOMI. Terima kasih SHOPEE.",positif
"Kedap suara, sehingga tidak keras terdengar suara bising disebelah. Kerasa agak besar case nya. Suara sesuai dengan harga.",positif
"Mantap brg sampai sangat cepat. Lumayanlah untuk TWS harga segini. Tidak sakit di telinga, sangat nyaman dipakai, bassnya pas bgt. Mantap Xiaomi. Makasih.",positif
"Terima kasih barangnya sudah sampai. Barang dalam kondisi baik & normal, suara nya bagus untuk harganya. Minusnya packing sangat simple banget, tapi overall saya suka modelnya.",positif
"Lumayan tapi saya agak ""kecewa ringan😅"" dengan ekspektasi saya. Saya kira barangnya sama dengan fitur seperti earphone wah gitu karena saya berpikir di HP dengan earphone nya sama mereknya bakal lebih bagus, ternyata tidak begitu karena ""di anime tidak begitu😒"", tapi sudahlah, ""mau bagaimana lagi😁"", sudah😍😘"" 😋😜. Intinya, jaga barangmu, mungkin tidak terlalu bagus, tetapi percayalah kalian pasti akan membutuhkannya suatu saat nanti😁.",positif
"Review jujur build quality earbuds oke bahannya solid dan rigid. Tetapi ternyata bentuknya besar, kuping saya kecil jadi aneh dilihat :( Next, kualitas suara, untuk suara klo telepon, zoom dll itu ada echonya suara jadi nyaring solusi volume di 10 - 15% biar jadi santai klo ngobrol. Untuk musik bass jelek, edm gk cocok, tapi suara vokalis jadi jelas, dengerin Taylor Swift cocok, tetep kasih bintang lima karena murah bgt harganya, lumayan buat koleksi, yg nyesel cuman looknya aja jelek, besar bgt earbudsnya :(",positif
Worth the price. Berfungsi dengan baik di device Mi 10T Pro. Kualitas suara yang dihasilkan juga bagus. Pengemasan dan pengiriman cepat. Quick connect and quick charge. Terima kasih Xiaomi.,positif
"Bagus sekali mantap. Sepadan dengan harga, terjangkau rekomended. Pengiriman cepat, produk original, harga lumayan terjangkau. Mantap.",positif
"Bass enak, lembut, trebel tidak bikin terlalu strong, midle nya emang menonjol, tinggal di kontrol di equalizer di app nya aja, overall enak, nyaman di kuping. Proses toko nya sedikit lambat, 3 hari baru di serahkan ke jasa kirim, mungkin restock dulu kali, jasa kirim sedang bagus, 2 hari sampai. Terima kasih.",positif
"Suara. Cocok. Pengemasan baik, kualitas barang baik, semuanya baik.",positif
"Tentu saja. Iyalah tuh. Makasih MI Official Store, earbuds nya bagus suaranya oke, batre awet, mudah-mudahan awet selamanya. Makasih untuk kurir Shopee Express.",positif
"Oke lah. Kebanyakan fitur, tapi yang paling bagus fitur fast pair nya sih. Worth it sih, suara yang dihasilkan sudah cukup untuk daily, bassnya bersih, treblenya dapet. Cuma yang bikin kurang, yaitu untuk penggunaan lama tidak nyaman di telinga, bikin cepat capek atau sakit. Itu saja sih tapi worth it lah 9.2/10.",positif
"Kualitas produk ini sangat rendah, suaranya buruk dan earbuds terlalu besar. Tidak puas dengan pembelian ini.",negatif
"Barang ini tidak awet, baterai cepat habis. Saya sangat kecewa dengan kualitasnya.",negatif
"Packing produk sangat buruk, barang datang dalam keadaan rusak. Pengiriman sangat lambat juga.",negatif
"Saya mengharapkan banyak dari fitur-fitur yang dijanjikan, namun sebagian besar tidak berfungsi dengan baik. Kecewa.",negatif
"Earbuds ini sangat tidak nyaman dipakai, saya merasa sakit dan cepat capek saat menggunakannya.",negatif
Produk ini tidak sesuai dengan ekspektasi saya. Suaranya tidak bagus dan saya merasa sangat kecewa.,negatif
Kualitas suara produk ini sangat rendah. Saya tidak merekomendasikan produk ini.,negatif
Produk ini tidak cocok untuk penggunaan sehari-hari. Saya merasa uang saya terbuang.,negatif
Earbuds ini tidak nyaman di telinga. Saya merasa sakit saat menggunakannya untuk waktu yang lama.,negatif
Kualitas produk sangat buruk. Saya sangat kecewa dengan pembelian ini.,negatif
Produk ini tidak sesuai dengan deskripsi yang diberikan. Fitur-fitur yang dijanjikan tidak ada.,negatif
Harga produk ini tidak sebanding dengan kualitasnya. Saya merasa saya membayar terlalu mahal.,negatif
Saya tidak merekomendasikan produk ini. Kualitasnya rendah dan baterai cepat habis.,negatif
Pengiriman produk sangat lambat. Saya harus menunggu lama sebelum menerima barang ini.,negatif
Earbuds ini terlalu besar dan tidak nyaman di telinga. Saya tidak suka dengan desainnya.,negatif
Kualitas suara produk ini sangat rendah. Saya sangat kecewa dengan pembelian ini.,negatif
"Bagus bangettt.. barang sesuai yang di order.. keren hpnya.. semoga awet dan nggak gampang panas, sudah dapat casing.. mantap ini.",positif
"Kualitas produk baik, produk original. Packing baik, pengiriman cepat, sampai tujuan aman. Pemakaian kurang lebih 1 bulan fine-fine saja. Overall oke, sesuai ekspektasi. Seller ramah dan responsif. Recommended seller and product.",positif
"Alhamdulillah paket sudah sampai, packing rapi dan aman, barang sesuai dengan pesanan, HP berfungsi dengan baik, semoga awet, seller responsif dan amanah, pengiriman cepat, terima kasih seller.",positif
"Bagus banget ini hp dengan harga segini, cocok untuk anak cowok. Pengemasan rapi dan aman pengiriman cepat. Thank you so much seller GBU.",positif
Pengiriman cepat banget. Padahal mau minta di-pending. Tapi ternyata sudah dikirim. Good banget. Fast response. Terima kasih Shopee.,positif
Barang sampai dengan aman dan berfungsi dengan baik sesuai pesanan. Terima kasih seller.,positif
"Alhamdulillah udah sampai, spek bengis harga manis setelah nonton gadgetin sama nyari hp yang lain ttp balik lagi ke poco emang gada obat, review gadgetin ga pernah ngecewain camera'y bener² bagus banget, tapi sayang aku ambil ram 6 semoga cukup hehe, cantik banget warnanya, spek nya cukup gagah buat aku ga suka nge-game paling utama si incer cameranya 😁, semoga awet berkah selalu shopee, pengirimannya juga cepat banget mantap pokonya 👍❤️",positif
"Good pesanan dikirim dengan cepat dikirim. Hp nya bagus sesuai yang diinginkan kelengkapan aman semuanya ada, mantap lah.",positif
"Pengiriman seminggu, soalnya dari Semarang. Packing aman, kardus luar+dibungkus bubble wrap dalam. Terima kasih seller.",positif
"Gila, kameranya jernih banget.. emang bagus banget ini.. nggak nyesel. Beli poco x5 pro ditoko ini.. keren pokoknya.. baterai cepat casnya juga tidak lama.. buat main game enak juga.. barengan ama casing datanya padahal sudah dapat di boknya tapi pengen casing evos😂😂😂",positif
MasyaAllah Tabbarakkalah.. bagus HP nya semoga awet.. pengiriman sangat cepat.. next order.,positif
"Kamera oke banget, hp tidak over panas. Worth it banget dengan harga segini udah dapat hp spek seperti Poco X5 Pro 5G.",positif
"Alhamdulillah setelah menunggu beberapa hari datang juga, pengalaman pertama beli hp online, untuk hp masih segel, packing aman, ada bubble wrap nya, hp sudah dicoba juga alhamdulillah normal berfungsi dengan baik semoga awet. Pengiriman cepat, overall 👍👍👍 sukses terus Poco & Xiaomi Indonesia.",positif
"Pertama kali beli hp online mantap pengirimannya cepat biar ngeri² gimana gitu lihat kerususnya. Semoga awet ganti pake MIUI, awalnya pake produk sebelah yang sama-sama PO, makasih.",positif
"Kualitas dari semua fitur sesuai harga dan sangat bagus, buat foto-foto bagus banget, dan untuk bermain game aman, nyaman, lancar tanpa lag. Mantap banget dapet harga murah ditambah lagi voucher potongan harga.",positif
"Bagus banget, baterai awet, chipset kencang, dan yang paling disuka, kameranya benar-benar bagus, hasil fotonya suka banget, cocok untuk merekam video stabil, cocok untuk konten, semoga awet dan tahan lama karena baru pertama beli hp Poco… aamiin.",positif
"Barang rusak saat diterima, layar retak, sangat kecewa.",negatif
"Saya memesan varian tertentu, tetapi yang diterima adalah varian yang berbeda. Ini sangat mengganggu.",negatif
Pengiriman sangat lambat dan tidak sesuai dengan estimasi yang diberikan.,negatif
"HP ini mengalami masalah teknis yang mengganggu, seperti sering restart sendiri.",negatif
"Saya sudah mencoba menghubungi penjual untuk mengatasi masalah dengan produk ini, tetapi mereka tidak merespons.",negatif
"Packing sangat buruk, hanya dalam kardus tanpa perlindungan tambahan, sehingga barang tiba dalam kondisi rusak.",negatif
"Baterai HP sangat cepat habis dan perlu sering diisi ulang, tidak sesuai dengan ekspektasi.",negatif
"Saya memesan HP ini dengan harapan kualitas kamera akan bagus, tetapi hasil foto tidak sesuai dengan yang diharapkan.",negatif
Pengiriman terlambat dan saya telah menunggu terlalu lama untuk menerima produk ini.,negatif
"Setelah beberapa minggu pemakaian, HP ini mulai mengalami masalah seperti layar tidak responsif.",negatif
Pembelian ini adalah kekecewaan besar. HP ini tidak sebanding dengan harganya.,negatif
Penjual tidak jujur ​​mengenai kondisi produk yang dijual. Saya merasa tertipu.,negatif
"Saya telah mencoba menghubungi layanan pelanggan, tetapi tidak ada respons yang memuaskan.",negatif
"Kualitas konstruksi HP ini sangat rendah, mudah rusak, dan tidak tahan lama.",negatif
"Tidak bagus sama sekali, baterainya cepat habis, chipsetnya lelet, dan yang paling dibenci, kameranya sangat buruk, hasil fotonya sangat jelek, tidak cocok untuk merekam video stabil, tidak cocok untuk konten, semoga tidak tahan lama karena ini adalah kesalahan besar membeli hp Poco… aamiin.",negatif
Sangat kecewa dengan performa HP ini. Sering terjadi lag dan hang.,negatif
"Fitur Terbaik: android tv Sepadan dengan Harga: harga worth to buy dari pada beli tv baru Pengiriman lumayan cepat, connectnya jg gampang trimakasih seller sukses selalu. Ini membantu bgt sih buat tv smart yg belum android jd gk perlu upgrade tv lagi hehe",positif
"Fitur Terbaik: 👌🏼 Sepadan dengan Harga: sesuai harga Nicee, barang sesuai pesanan Packing juga aman, ada buble wrap nya juga Terimaksih seller, sukses selalu 😁",positif
"Fitur Terbaik: bagusss bisa untuk nonton YouTube or Netflix Cocok untuk tv Samsung, bagusss 🥰🥰🥰",positif
Fitur Terbaik: ok Sepadan dengan Harga: ok Makasih min alhamdulillah paketnya uda smpai. Pecking bubble tebal dan aman sampai sulbar. Sesuai pesanan 👍🏻 AwalX layar tv kedip2. Lama2 uda ngk. Smoga awet yah... Makasih 🙏🏻. Tp Expedisinya lama yah 1 mingguan.,positif
Mengubah TV biasa menjadi pintarrrr :) Packing rapi dan aman,positif
"Fitur Terbaik: baik sekali Sepadan dengan Harga: agak mahal dikit Da harga da kualitas, bagus bngt berfungsi dengan baik, reseller jg baik di kasih hadiah mainan",positif
"Fitur Terbaik: produk original, pengemasan bagus, pengiriman cepat Sepadan dengan Harga: sepadan, sesuai dengan deskripsi Seller responsif, setelah datang langsung saya coba, Alhamdulillah berjalan dengan baik. TV saya sudah jadi smart TV",positif
"Fitur Terbaik: terbaik Sepadan dengan Harga: sepadan Rekomend....toko amanah, respon penjual cepat dan ramah sekali, pengiriman cepat sekali, kurirnya cakep, ok tengkyu.....🙏",positif
"Fitur Terbaik: seperti deskripsi Sepadan dengan Harga: standar Belum dicoba karena utk di rumah adik sepupu, awet, tahan lama, dan mantul mantul",positif
"Mantap! Kecepatan pengiriman sesuai standar. Pengemasan produk okelah. Gampang cara penggunaannya, langsung lancar. Makasih.",positif
"Fitur Terbaik: ok Sepadan dengan Harga: ok Alhamdulillah sampai dengan aman, pengiriman dan pengemasan sangat baik, produk ok, semoga awet dan banyak manfaatnya",positif
Fitur Terbaik: ok Sepadan dengan Harga: harga standar Terimakasih paket sampai dengan cepat,positif
"Fitur Terbaik: Xiaomi Smart TV Sepadan dengan Harga: harga sesuai Xiaomi Smart TV ini bisa membantu kita menonton Netflix, YouTube, dll... Tapi sayang kekurangannya di remotenya yang kadang-kadang suka error dan tidak terdeteksi kursornya... Jadi harus reset remotenya terus kalau mau pakai... Next, tolong ditingkatkan lagi untuk remotenya... Kalau untuk yang lain semua sudah ok, pengiriman, penjual fast respon....",negatif
"Fitur Terbaik: Mudah digunakan Pengiriman dan pengemasan lumayan cepat, produk mudah digunakan",positif
"Fitur Terbaik: layar bening Sepadan dengan Harga: standar Sudah sampai Bagus Pengiriman cepat, terima kasih....",positif
"Pengiriman cepat, harga sangat bersahabat. Berfungsi dengan sempurna. Terima Kasih",positif
"Fitur Terbaik: bagus Sepadan dengan Harga: terjangkau Kualitas oke banget, pengirimannya juga cepat, dan mudah digunakan, mantap!",positif
Pengiriman sangat lambat. Barangnya tidak sesuai dengan deskripsi. Sangat kecewa.,negatif
Fitur Terbaik: Tidak sesuai dengan deskripsi Sepadan dengan Harga: terlalu mahal Barangnya sudah rusak saat sampai. Tidak direkomendasikan.,negatif
Sangat buruk. Barang cacat dan tidak dapat digunakan. Saya merasa tertipu.,negatif
Fitur Terbaik: Tidak berfungsi dengan baik Sepadan dengan Harga: tidak sepadan Saya merasa uang saya terbuang percuma. Tidak puas dengan produk ini.,negatif
Barang rusak saat sampai. Tidak ada respons dari penjual. Sangat mengecewakan.,negatif
Pengiriman terlalu lama. Produk tidak sesuai dengan harapan. Saya sangat kecewa.,negatif
Fitur Terbaik: Tidak berfungsi Sepadan dengan Harga: tidak sepadan Produk cacat dan tidak dapat digunakan. Sangat mengecewakan.,negatif
Pengemasan buruk. Produk rusak saat sampai. Saya merasa ditipu.,negatif
Sangat mengecewakan. Produk tidak berkualitas. Saya tidak merekomendasikan ini.,negatif
Fitur Terbaik: Buruk Sepadan dengan Harga: tidak sepadan Saya merasa terjebak dengan produk ini. Tidak sesuai dengan harapan.,negatif
Pengiriman terlalu lama. Produk tidak berkualitas. Saya sangat kecewa.,negatif
Fitur Terbaik: Tidak berfungsi Sepadan dengan Harga: harga terlalu tinggi Sangat mengecewakan. Tidak sesuai dengan deskripsi.,negatif
Barang rusak saat sampai. Tidak ada garansi. Sangat mengecewakan.,negatif
Pengiriman terlalu lambat. Produk tidak sesuai dengan deskripsi. Saya merasa ditipu.,negatif
Produk tidak berkualitas. Tidak berfungsi dengan baik. Tidak direkomendasikan.,negatif
"Fitur Terbaik: terbaik Sepadan dengan Harga: iya Alhamdulillah benar benar puas dan bagus berbelanja di toko ini. Hp sampai dengan sangat aman, masih segel, sesuai pesanan. Makasih ya ka, sukses selalu untuk kita 🥳🤗",positif
"Fitur Terbaik: terupdate Sepadan dengan Harga: terjangkau Alhamdulillah barang sudah mendarat dengan selamat, pengiriman nya oke di bungkus dengan rapih mantap. Kurir nya juga ramah mantap terima kasih.",positif
"Sepadan dengan Harga: sepadan banget Fitur Terbaik: baik Barang datang tanpa cacat bonus case hp, pengiriman cepat pengemasan rapi tidak rusak tidak penyok bagus banget anakku suka makasih banyak, bisa langganan.",positif
"Fitur Terbaik: memiliki sesuatu yang spesial Sepadan dengan Harga: harga sangat murah dibanding di toko offline Puas banget belanja di sini. Barang aman, packing rapi. Semoga awet.",positif
"Fitur Terbaik: Pokoknya baik karena masih baru Sepadan dengan Harga: Iya Pengemasan & pengiriman ok. Packing ok, barang ok. Langganan beli disini selalu cocok. Alhamdulillah dapat harga promo kemerdekaan free cover HP. Makasih yaaa...",positif
"Sepadan dengan Harga: iyaa Fitur Terbaik: baik Hp nya bagus, meski awalnya sempat panik hp nya lama nyala pas baru sampai, setelah nyala hp nya bagus, sesuai deskripsi dan semoga awet.",positif
"Fitur Terbaik: Semua Baik Sepadan dengan Harga: Tentu Suka banget, pengiriman cepat, karena datang tepat waktu, mau buat surprise ke anak. Pengemasan Oke, barang bagus, original... Gak kecewa pokoknya belanja disini",positif
"Fitur Terbaik: chipset nya sangat powerful di kelasnya Sepadan dengan Harga: harganya terjangkau Produk sesuai pesanan, dan adikku senang banget dan ini sudah yang kedua kalinya aku beli HP di sini, dan sangat puas dengan produknya, mantap dan recommended deh pokoknya 👍",positif
"Fitur Terbaik: NFC dan Kapasitas Internal 128GB Sepadan dengan Harga: Sangat Sepadan Alhamdulillah barang sampai dengan aman dan kualitas bagus. Perlu diingat bagi yang mau beli bahwa HP ini tidak ada ULTRAWIDE pada kameranya ya. Dan please jangan pilih paket pengiriman sameday karena rugi waktu, lama sampainya. Sama aja kayak pake jasa reguler. Thanks tetap bintang 5 kok.",positif
"Sepadan dengan Harga: Terjangkau Fitur Terbaik: Sesuai Pesanan Pengiriman cepat, packing rapi, barang sampai tujuan dengan aman, kurir ramah, kualitas barang bagus dengan harga terjangkau, dan yang pasti original. Terima kasih.",positif
"Barangnya sudah diterima kk, barang sesuai pesanan.. Pengiriman cepat, packing rapi.. Semoga bisa beli lagi gak kan nyesel beli di sini.. Makasih kaka",positif
"Fitur Terbaik: berharap yang terbaik 👍💯 Sepadan dengan Harga: mudah-mudahan sepadan Packing aman, rapi, pengiriman cepat, mendarat dengan aman.. Semoga barangnya baik-baik saja dan awet 😁👍👍👍",positif
"Fitur Terbaik: ok Sepadan dengan Harga: ok Alhamdulillah.... pesanan sudah sampai tujuan Packing aman, rapi, dan kuat Hpnya langsung bisa dipakai dengan baik  Terima kasih",positif
"Fitur Terbaik: Sangat cepat untuk bermain game Sepadan dengan Harga: Worth it pisann Kenceng banget performa hpnya, batrenya tahan lama, ga terlalu panas lagi kalo di pake maen game, worth it parahhhhh👌",positif
Fitur Terbaik: mantap full fitur Sepadan dengan Harga: harga official store HP bagus. Browsing lancar. Ga lemot lagi. Aksesoris lengkap. Mantap pokoknya.,positif
"Packing nya rapi, penjual juga ramah. Cuma lambat pengiriman aja karna lagi super sale. Selebihnya bagus banget fitur nya canggih juga. Semoga awet deh pokoknyaa",positif
Fitur Terbaik: buruk Sepadan dengan Harga: tidak sepadan Sangat kecewa dengan produk ini. Pengiriman sangat lambat dan barangnya rusak saat sampai. Saya tidak akan pernah membeli di sini lagi.,negatif
Fitur Terbaik: sangat buruk Sepadan dengan Harga: terlalu mahal Produk ini adalah sampah. Tidak sesuai dengan deskripsi dan harganya terlalu mahal. Saya merasa ditipu.,negatif
"Fitur Terbaik: tidak ada Sepadan dengan Harga: harga tidak sepadan Barang tidak pernah sampai, dan penjual tidak merespons. Uang saya hilang begitu saja. Ini adalah pengalaman buruk.",negatif
Fitur Terbaik: rusak Sepadan dengan Harga: terlalu mahal Saya mendapatkan produk yang rusak dan penjual tidak memberikan pengembalian uang. Ini adalah penipuan!,negatif
Fitur Terbaik: tidak sesuai dengan deskripsi Sepadan dengan Harga: mahal Saya merasa tertipu dengan produk ini. Deskripsi tidak akurat dan harganya terlalu mahal.,negatif
Fitur Terbaik: sangat mengecewakan Sepadan dengan Harga: tidak sepadan Saya sangat kecewa dengan pengalaman belanja di sini. Produknya buruk dan pengirimannya lambat.,negatif
Fitur Terbaik: buruk sekali Sepadan dengan Harga: harga terlalu mahal Produk ini tidak berfungsi dengan baik dan harganya terlalu mahal. Saya menyesal membelinya.,negatif
Fitur Terbaik: tidak ada Sepadan dengan Harga: mahal Saya merasa uang saya terbuang percuma. Produknya tidak memiliki fitur yang dijanjikan dan harganya mahal.,negatif
Fitur Terbaik: rusak parah Sepadan dengan Harga: sangat mahal Barang yang saya terima rusak parah dan penjual tidak merespons. Saya sangat marah dengan pengalaman ini.,negatif
Fitur Terbaik: tidak ada Sepadan dengan Harga: harga terlalu tinggi Saya merasa ditipu. Produk ini tidak memiliki fitur apa pun yang berarti dan harganya terlalu tinggi.,negatif
Fitur Terbaik: sangat mengecewakan Sepadan dengan Harga: tidak sepadan Pengiriman lambat dan produknya sangat buruk. Saya tidak akan merekomendasikan ini kepada siapa pun.,negatif
Fitur Terbaik: sangat buruk Sepadan dengan Harga: terlalu mahal Ini adalah pemborosan uang. Produknya sangat buruk dan harganya terlalu mahal.,negatif
Fitur Terbaik: tidak ada Sepadan dengan Harga: mahal Saya sangat kecewa dengan produk ini. Tidak ada fitur yang berguna dan harganya terlalu mahal.,negatif
Fitur Terbaik: rusak Sepadan dengan Harga: terlalu mahal Saya mendapatkan produk yang rusak dan penjual tidak mau mengganti. Ini adalah pengalaman yang sangat buruk.,negatif
"Packing nya rapi, penjual juga ramah. Sayangnya pengiriman sangat lambat, terutama karena lagi super sale. Selebihnya fiturnya memang canggih, tapi pengiriman yang lambat membuat pengalaman berbelanja ini tidak menyenangkan. Semoga produknya tetap awet.",negatif
Fitur Terbaik: sangat mengecewakan Sepadan dengan Harga: tidak sepadan Saya merasa sangat kecewa dengan pembelian ini. Produknya buruk dan harganya tidak sepadan.,negatif
